# wavelength (um), k
3.636, 2.25e-5
3.704, 3.39e-5
3.174, 3.93e-5
3.846, 4.96e-5
3.922, 5.18e-5
4.000, 5.79e-5
4.082, 7.99e-5
4.167, 1.07e-4
4.255, 1.32e-4
4.348, 2.13e-4
4.396, 2.65e-4
4.444, 2.84e-4
4.494, 2.84e-4
4.545, 2.56e-4
4.651, 2.62e-4
4.762, 4.85e-4
4.878, 1.82e-3
5.000, 3.98e-3
5.063, 5.12e-3
5.128, 5.18e-3
5.263, 5.49e-3
5.333, 5.69e-3
5.405, 5.72e-3
5.55, 5.63e-3
5.882, 5.94e-3
6.061, 6.32e-3
6.154, 6.46e-3
6.250, 6.52e-3
6.452, 6.57e-3
6.667, 7.16e-3
6.897, 8.51e-3
7.143, 1.06e-2
7.407, 1.48e-2
7.692, 3.72e-2
7.752, 4.74e-2
7.813, 7.68e-2
7.874, 0.132
7.937, 0.216
8.000, 0.323
8.065, 0.446
8.130, 0.553
8.197, 0.635
8.265, 0.704
8.333, 0.771
8.403, 0.840
8.475, 0.903
8.547, 0.978
8.621, 1.07
8.696, 1.17
8.772, 1.32
8.850, 1.53
8.929, 1.85
9.009, 2.27
9.091, 2.55
9.174, 2.63
9.302, 2.26
9.524, 1.65
9.756, 0.962
10.00, 0.509
10.26, 0.231
10.53, 0.102
10.81, 4.60e-2
11.11, 5.06e-2
11.36, 7.75e-2
11.63, 0.116
11.76, 0.152
11.90, 0.204
12.05, 0.267
12.20, 0.323
12.35, 0.341
12.50, 0.343
12.66, 0.314
12.82, 0.275
12.99, 0.227
13.16, 0.192
13.33, 0.177
13.79, 0.157
14.29, 0.157
14.81, 0.168
15.38, 0.182
16.00, 0.202
16.67, 0.235
17.24, 0.264
17.86, 0.298
18.52, 0.341
18.97, 0.377
19.23, 0.415
19.61, 0.524
20.00, 0.822
20.41, 1.28
20.83, 1.86
21.05, 2.22
21.28, 2.39
21.74, 2.29
22.73, 1.29
23.81, 0.738
25.00, 0.397
26.67, 0.199
28.57, 0.13
30.77, 9.2e-2
33.33, 6.7e-2
36.36, 5.6e-2
40.00, 4.6e-2
100.0, 1.59e-2
125.0, 1.19e-2
166.7, 8.62e-3
250.0, 6.96e-3
500.0, 7.96e-3
